chr left right
RP11-34P13.7 chr1 89295 133566
RP11-34P13.8 chr1 89551 91105
AL627309.1 chr1 134901 139379
RP11-34P13.9 chr1 160446 161525
AP006222.2 chr1 227615 267253
RP4-669L17.10 chr1 317720 453948
RP5-857K21.1 chr1 521369 523833
RP5-857K21.3 chr1 529833 532878
RP5-857K21.4 chr1 536816 659930
RP11-206L10.3 chr1 677193 685396
RP11-206L10.5 chr1 694412 700305
RP11-206L10.4 chr1 696291 697369
RP11-206L10.2 chr1 700237 714006
RP11-206L10.9 chr1 714150 745440
FAM87B chr1 752751 755214
LINC00115 chr1 761586 762902
FAM41C chr1 803451 812283
RP11-54O7.1 chr1 846815 850328
SAMD11 chr1 860260 879955
NOC2L chr1 879584 894689
KLHL17 chr1 895967 901095
PLEKHN1 chr1 901877 911245
C1orf170 chr1 910579 917497
RP11-54O7.17 chr1 931346 933431
HES4 chr1 934342 935552
RP11-54O7.11 chr1 947377 948573
ISG15 chr1 948803 949920
AGRN chr1 955503 991496
RP11-54O7.18 chr1 997588 998668
RNF223 chr1 1006346 1009687
C1orf159 chr1 1017198 1051741
RP11-465B22.5 chr1 1072397 1079436
RP11-465B22.8 chr1 1104737 1105723
TTLL10-AS1 chr1 1108436 1114935
TTLL10 chr1 1109264 1133315
TNFRSF18 chr1 1138888 1142071
TNFRSF4 chr1 1146706 1149518
SDF4 chr1 1152288 1167411
B3GALT6 chr1 1167629 1170421
FAM132A chr1 1177826 1182102
RP5-902P8.12 chr1 1185157 1186714
UBE2J2 chr1 1189289 1209265
RP5-902P8.10 chr1 1210603 1215800
SCNN1D chr1 1215816 1227409
ACAP3 chr1 1227756 1244989
PUSL1 chr1 1243947 1247057
CPSF3L chr1 1246965 1260071
GLTPD1 chr1 1260136 1264277
TAS1R3 chr1 1266694 1270686
DVL1 chr1 1270656 1284730
MXRA8 chr1 1288069 1297157
AURKAIP1 chr1 1309110 1310875
CCNL2 chr1 1321091 1334708
RP4-758J18.2 chr1 1334902 1337426
MRPL20 chr1 1337288 1342693
RP4-758J18.13 chr1 1344476 1345998
ANKRD65 chr1 1353800 1357149
RP4-758J18.10 chr1 1365919 1369953
VWA1 chr1 1370241 1378262
ATAD3C chr1 1385069 1405538
ATAD3B chr1 1407143 1433228
ATAD3A chr1 1447531 1470067
TMEM240 chr1 1470554 1475833
SSU72 chr1 1477053 1510249
AL645728.1 chr1 1510355 1511373
C1orf233 chr1 1533392 1535476
RP11-345P4.9 chr1 1549138 1551175
MIB2 chr1 1550795 1565990
MMP23B chr1 1567474 1570639
CDK11B chr1 1570603 1590473
RP11-345P4.10 chr1 1590786 1594063
SLC35E2B chr1 1592939 1624167
RP11-345P4.7 chr1 1603429 1604850
CDK11A chr1 1634169 1655766
SLC35E2 chr1 1656277 1677431
NADK chr1 1682671 1711896
GNB1 chr1 1716729 1822495
RP1-140A9.1 chr1 1822910 1824097
CALML6 chr1 1846266 1848735
TMEM52 chr1 1849029 1850712
C1orf222 chr1 1853396 1935276
RP11-547D24.1 chr1 1944652 1946969
GABRD chr1 1950780 1962192
RP11-547D24.3 chr1 1980642 1981509
PRKCZ chr1 1981909 2116834
RP5-892K4.1 chr1 2072523 2076718
RP11-181G12.2 chr1 2113233 2115828
C1orf86 chr1 2115903 2144159
AL590822.2 chr1 2121237 2123179
AL590822.1 chr1 2143360 2145620
RP11-181G12.4 chr1 2143962 2152177
SKI chr1 2160134 2241558
MORN1 chr1 2252692 2323146
RER1 chr1 2323267 2336883
